PSDI,InChi,LogS (log(mol/L)),LogS Temperature (C),LogS Solvent InChi,HLC (mol m-3 Pa-1),HLC Temperature (C),HLC Solvent InChi,Source,Citation,Master Version
PSDI002DF0,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,1.11,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI002DF0,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,,,,440.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE800517R,0.0.8
PSDI002DF4,InChI=1S/C3H6N2O2/c1-3(6)5(2)4-7/h1-2H3,-0.77,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI002DF4,InChI=1S/C3H6N2O2/c1-3(6)5(2)4-7/h1-2H3,,,,0.09,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JNCI/56.6.1125,0.0.8
PSDI002EA4,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)",-0.65,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI002EA4,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)",-0.67,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI002EA4,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)",,,,3.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00696639,0.0.8
PSDI002EE0,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",-2.41,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI002EE0,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",-2.41,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI002EE0,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",,,,8.9,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/P29720000136,0.0.8
PSDI002FB7,"InChI=1S/C13H21O3PS/c1-11(2)15-17(14,16-12(3)4)18-10-13-8-6-5-7-9-13/h5-9,11-12H,10H2,1-4H3",-2.86,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI002FB7,"InChI=1S/C13H21O3PS/c1-11(2)15-17(14,16-12(3)4)18-10-13-8-6-5-7-9-13/h5-9,11-12H,10H2,1-4H3",,,,260.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1584/JPESTICS.18.3_201,0.0.8
PSDI002FF0,"InChI=1S/C6H12Cl2O/c1-5(3-7)9-6(2)4-8/h5-6H,3-4H2,1-2H3",-2.0,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI002FF0,"InChI=1S/C6H12Cl2O/c1-5(3-7)9-6(2)4-8/h5-6H,3-4H2,1-2H3",,,,0.42,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(89)90482-7,0.0.8
PSDI00303B,"InChI=1S/C8H14O2/c1-3-4-5-6-7-10-8(2)9/h4-5H,3,6-7H2,1-2H3",-2.11,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00303B,"InChI=1S/C8H14O2/c1-3-4-5-6-7-10-8(2)9/h4-5H,3,6-7H2,1-2H3",,,,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S1387-3806(02)00927-2,0.0.8
PSDI003078,"InChI=1S/C19H28O/c1-18-9-3-4-16(18)15-6-5-13-12-14(20)7-11-19(13,2)17(15)8-10-18/h3,9,13,15-17H,4-8,10-12H2,1-2H3",-6.07,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003078,"InChI=1S/C19H28O/c1-18-9-3-4-16(18)15-6-5-13-12-14(20)7-11-19(13,2)17(15)8-10-18/h3,9,13,15-17H,4-8,10-12H2,1-2H3",,,,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/CHEMSE/3.1.57,0.0.8
PSDI0030AA,"InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",-4.67,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0030AA,"InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1136/OEM.47.1.62,0.0.8
PSDI0030DC,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",-3.83,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0030DC,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",-3.79,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0030DC,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",-3.85,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0030DC,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0030DF,"InChI=1S/C6H12N2O2/c1-5-3-8(7-9)4-6(2)10-5/h5-6H,3-4H2,1-2H3",-0.07,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0030DF,"InChI=1S/C6H12N2O2/c1-5-3-8(7-9)4-6(2)10-5/h5-6H,3-4H2,1-2H3",-0.06,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0030DF,"InChI=1S/C6H12N2O2/c1-5-3-8(7-9)4-6(2)10-5/h5-6H,3-4H2,1-2H3",,,,35.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JNCI/56.6.1125,0.0.8
PSDI003129,"InChI=1S/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3",-0.98,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003129,"InChI=1S/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3",,,,0.05,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.JIEC.2010.03.003,0.0.8
PSDI00314A,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",-1.97,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00314A,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",-1.96,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00314A,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",-1.96,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI00314A,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE00026A010,0.0.8
PSDI003150,"InChI=1S/C10H13NO3/c1-3-7(2)8-4-5-10(12)9(6-8)11(13)14/h4-7,12H,3H2,1-2H3",-3.84,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003150,"InChI=1S/C10H13NO3/c1-3-7(2)8-4-5-10(12)9(6-8)11(13)14/h4-7,12H,3H2,1-2H3",,,,0.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI003151,"InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)",-2.51,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003151,"InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)",-2.5,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003151,"InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)",,,,150.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1584/JPESTICS.18.3_201,0.0.8
PSDI003166,"InChI=1S/C5H11NO3/c1-3-5(4-2)9-6(7)8/h5H,3-4H2,1-2H3",-2.45,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003166,"InChI=1S/C5H11NO3/c1-3-5(4-2)9-6(7)8/h5H,3-4H2,1-2H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(98)00159-3,0.0.8
PSDI0031D0,"InChI=1S/C5H11NO3/c1-3-4-5(2)9-6(7)8/h5H,3-4H2,1-2H3",-2.48,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0031D0,"InChI=1S/C5H11NO3/c1-3-4-5(2)9-6(7)8/h5H,3-4H2,1-2H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(98)00159-3,0.0.8
PSDI00335E,"InChI=1S/C6H13NO3/c1-2-3-4-5-6-10-7(8)9/h2-6H2,1H3",-3.13,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00335E,"InChI=1S/C6H13NO3/c1-2-3-4-5-6-10-7(8)9/h2-6H2,1H3",,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(98)00159-3,0.0.8
PSDI003377,"InChI=1S/C5H11NO3/c1-2-3-4-5-9-6(7)8/h2-5H2,1H3",-2.57,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003377,"InChI=1S/C5H11NO3/c1-2-3-4-5-9-6(7)8/h2-5H2,1H3",,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(98)00159-3,0.0.8
PSDI00337E,"InChI=1S/C5H12N2O/c1-3-4-5-7(2)6-8/h3-5H2,1-2H3",-0.7,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00337E,"InChI=1S/C5H12N2O/c1-3-4-5-7(2)6-8/h3-5H2,1-2H3",,,,1.7,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JNCI/56.6.1125,0.0.8
PSDI00337F,"InChI=1S/C6H14N2O/c1-3-5-6-8(4-2)7-9/h3-6H2,1-2H3",-1.04,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00337F,"InChI=1S/C6H14N2O/c1-3-5-6-8(4-2)7-9/h3-6H2,1-2H3",-1.03,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00337F,"InChI=1S/C6H14N2O/c1-3-5-6-8(4-2)7-9/h3-6H2,1-2H3",,,,0.99,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JNCI/56.6.1125,0.0.8
PSDI003383,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",-3.12,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003383,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",,,,0.4,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0033DA,"InChI=1S/C9H19NOS/c1-4-7-10(8-5-2)9(11)12-6-3/h4-8H2,1-3H3",-2.7,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0033DA,"InChI=1S/C9H19NOS/c1-4-7-10(8-5-2)9(11)12-6-3/h4-8H2,1-3H3",,,,0.56,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.ATMOSENV.2008.07.017,0.0.8
PSDI003400,"InChI=1S/C3H7NO3/c1-2-3-7-4(5)6/h2-3H2,1H3",-1.5,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003400,"InChI=1S/C3H7NO3/c1-2-3-7-4(5)6/h2-3H2,1H3",,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(98)00159-3,0.0.8
PSDI00340A,"InChI=1S/C10H14O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h5-7,11H,3-4H2,1-2H3",-2.18,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00340A,"InChI=1S/C10H14O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h5-7,11H,3-4H2,1-2H3",,,,4.3,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.EST.9B06443,0.0.8
PSDI003495,"InChI=1S/C7H14O2/c1-4-6(3)7(8)9-5-2/h6H,4-5H2,1-3H3",-2.34,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003495,"InChI=1S/C7H14O2/c1-4-6(3)7(8)9-5-2/h6H,4-5H2,1-3H3",,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S1387-3806(03)00197-0,0.0.8
PSDI0034C7,"InChI=1S/C4H8N2O3/c1-3-9-4(7)6(2)5-8/h3H2,1-2H3",-0.55,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0034C7,"InChI=1S/C4H8N2O3/c1-3-9-4(7)6(2)5-8/h3H2,1-2H3",,,,0.39,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JNCI/56.6.1125,0.0.8
PSDI0034F8,"InChI=1S/C7H16O/c1-5-7(3,4)8-6-2/h5-6H2,1-4H3",-1.47,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0034F8,"InChI=1S/C7H16O/c1-5-7(3,4)8-6-2/h5-6H2,1-4H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.FLUID.2006.02.022,0.0.8
PSDI0035B7,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",1.14,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0035B7,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",,,,160.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE800517R,0.0.8
PSDI0035EA,"InChI=1S/C8H10N2O/c1-10(9-11)7-8-5-3-2-4-6-8/h2-6H,7H2,1H3",-1.52,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0035EA,"InChI=1S/C8H10N2O/c1-10(9-11)7-8-5-3-2-4-6-8/h2-6H,7H2,1H3",,,,0.79,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JNCI/56.6.1125,0.0.8
PSDI0035EC,"InChI=1S/C2H5N3O2/c1-5(4-7)2(3)6/h1H3,(H2,3,6)",-0.85,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0035EC,"InChI=1S/C2H5N3O2/c1-5(4-7)2(3)6/h1H3,(H2,3,6)",-0.86,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0035EC,"InChI=1S/C2H5N3O2/c1-5(4-7)2(3)6/h1H3,(H2,3,6)",,,,190.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JNCI/56.6.1125,0.0.8
PSDI00361D,"InChI=1S/C5H10N2O2S/c1-4(10-3)7-9-5(8)6-2/h1-3H3,(H,6,8)",-1.21,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00361D,"InChI=1S/C5H10N2O2S/c1-4(10-3)7-9-5(8)6-2/h1-3H3,(H,6,8)",-0.45,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00361D,"InChI=1S/C5H10N2O2S/c1-4(10-3)7-9-5(8)6-2/h1-3H3,(H,6,8)",,,,200.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI003657,"InChI=1S/C4H8O3/c1-3(5)4(6)7-2/h3,5H,1-2H3",0.98,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003657,"InChI=1S/C4H8O3/c1-3(5)4(6)7-2/h3,5H,1-2H3",,,,9.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE049824C,0.0.8
PSDI0036FE,"InChI=1S/C7H4Cl4O/c1-12-7-4(9)2-3(8)5(10)6(7)11/h2H,1H3",-5.13,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0036FE,"InChI=1S/C7H4Cl4O/c1-12-7-4(9)2-3(8)5(10)6(7)11/h2H,1H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S002160101077,0.0.8
PSDI003700,"InChI=1S/C7H6Cl2O/c1-10-7-5(8)3-2-4-6(7)9/h2-4H,1H3",-3.1,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI003700,"InChI=1S/C7H6Cl2O/c1-10-7-5(8)3-2-4-6(7)9/h2-4H,1H3",,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S002160101077,0.0.8
PSDI00391F,"InChI=1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",-6.8,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00391F,"InChI=1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",-6.8,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI00391F,"InChI=1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00154A003,0.0.8
PSDI00392A,InChI=1S/C12H2Cl8/c13-4-1-3(8(16)12(20)11(4)19)7-9(17)5(14)2-6(15)10(7)18/h1-2H,-9.29,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00392A,InChI=1S/C12H2Cl8/c13-4-1-3(8(16)12(20)11(4)19)7-9(17)5(14)2-6(15)10(7)18/h1-2H,,,,0.99,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00081A021,0.0.8
PSDI00392B,InChI=1S/C12H3Cl7/c13-5-1-4(2-6(14)10(5)17)9-11(18)7(15)3-8(16)12(9)19/h1-3H,-9.1,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00392B,InChI=1S/C12H3Cl7/c13-5-1-4(2-6(14)10(5)17)9-11(18)7(15)3-8(16)12(9)19/h1-3H,,,,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES020599Y,0.0.8
PSDI00392C,InChI=1S/C12H2Cl8/c13-4-2-6(15)9(17)11(19)7(4)3-1-5(14)10(18)12(20)8(3)16/h1-2H,-9.42,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00392C,InChI=1S/C12H2Cl8/c13-4-2-6(15)9(17)11(19)7(4)3-1-5(14)10(18)12(20)8(3)16/h1-2H,,,,0.99,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00081A021,0.0.8
